,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Alac,PH,89.2,scattered clouds,15.9877,120.8065,Caraballo Springs Resort
608,Sinnamary,GF,77.18,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
609,Victor Harbor,AU,71.01,scattered clouds,-35.5667,138.6167,McCracken Country Club
610,Afua,BR,72.97,broken clouds,-0.1567,-50.3867,Hotel Dias
614,Nuevitas,CU,72.23,few clouds,21.5453,-77.2644,Hotel Caonaba
618,Caraballeda,VE,78.4,overcast clouds,10.6112,-66.8522,Ole Caribe
624,Annavasal,IN,83.79,overcast clouds,10.4667,78.7,SPOT ON 44022 Hotel National Lodge
625,Victoria Point,AU,79.34,few clouds,-27.5833,153.3,Bay Retreat Motel
631,Nkhata Bay,MW,80.51,overcast clouds,-11.6066,34.2907,Mayoka Village
634,Santa Isabel Do Rio Negro,BR,72.55,overcast clouds,-0.4139,-65.0192,Hotel GSA
635,Inverell,AU,73.17,scattered clouds,-29.7833,151.1167,Sapphire City Motor Inn
637,Cabadiangan,PH,87.57,overcast clouds,9.7531,122.4739,Kipot
638,Olinda,BR,76.46,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
639,Hirado,JP,71.38,broken clouds,33.3597,129.5531,Samson Hotel
640,Tautira,PF,77.22,light rain,-17.7333,-149.15,Pension Oaoa
641,Ghugus,IN,79.2,clear sky,19.9333,79.1333,Rajiv Colony Tempo Club
642,Amahai,ID,86.07,broken clouds,-3.3333,128.9167,HOTEL ISABELA
644,Fare,PF,79.2,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
645,Lakes Entrance,AU,79.16,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
648,Ca Mau,VN,87.06,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
650,Zacualpan,MX,76.1,broken clouds,21.25,-105.1667,La Colorada B&B
652,Maceio,BR,71.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
653,Nisia Floresta,BR,74.21,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
654,Lorengau,PG,82.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
657,Kingston,JM,77.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
659,Ishigaki,JP,73.94,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
660,Abu Dhabi,AE,81.97,clear sky,24.4667,54.3667,Beach Rotana
669,Samarai,PG,83.26,few clouds,-10.6167,150.6667,Nuli Sapi
673,Dire Dawa,ET,73.2,scattered clouds,9.5931,41.8661,Samrat Hotel
677,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
