City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,Mecca,21.4267,39.8261,76.26,67,0,3.11,SA,2022-11-07 23:51:53
227,Minna,9.6139,6.5569,74.79,37,83,4.29,NG,2022-11-07 23:51:53
228,Beihai,21.4833,109.1,71.2,86,4,7.11,CN,2022-11-07 23:51:54
229,Civitanova Marche,43.307,13.7206,57.18,68,2,4.72,IT,2022-11-07 23:51:54
230,Balabagan,7.5264,124.1142,82.0,77,42,2.95,PH,2022-11-07 23:52:55
231,Viedma,-40.8135,-62.9967,68.79,46,17,15.52,AR,2022-11-07 23:52:55
232,Mont-De-Marsan,44.0,-0.6667,56.61,94,72,4.61,FR,2022-11-07 23:52:55
233,Boo,59.3333,18.2833,48.04,93,100,11.5,SE,2022-11-07 23:52:56
234,Shitanjing,39.2342,106.3439,40.84,47,75,7.34,CN,2022-11-07 23:52:56
235,Vallenar,-28.5708,-70.7581,66.72,57,99,3.78,CL,2022-11-07 23:52:56
236,Lewiston,44.1003,-70.2148,60.39,43,0,14.97,US,2022-11-07 23:52:57
237,Nantucket,41.2835,-70.0995,64.51,94,0,10.36,US,2022-11-07 23:51:38
238,Pangnirtung,66.1451,-65.7125,14.0,48,0,3.44,CA,2022-11-07 23:52:57
239,Hasaki,35.7333,140.8333,57.6,65,35,13.38,JP,2022-11-07 23:52:58
240,Grand Island,40.925,-98.342,52.09,23,0,12.66,US,2022-11-07 23:52:58
241,Neuquen,-38.9516,-68.0591,85.89,28,40,9.22,AR,2022-11-07 23:52:58
242,Lardos,36.0942,28.0157,66.02,68,0,6.87,GR,2022-11-07 23:52:59
243,Vestmanna,62.1564,-7.1664,47.32,87,100,35.68,FO,2022-11-07 23:52:59
244,Sur,22.5667,59.5289,81.1,63,88,9.35,OM,2022-11-07 23:53:00
245,Mahebourg,-20.4081,57.7,71.89,83,20,3.44,MU,2022-11-07 23:53:00
246,Katsuura,35.1333,140.3,61.3,80,14,11.5,JP,2022-11-07 23:53:00
247,Blytheville,35.9273,-89.919,62.94,87,99,5.99,US,2022-11-07 23:53:01
248,Eidfjord,60.4675,7.0719,39.45,90,99,4.05,NO,2022-11-07 23:53:01
249,Yate,51.5407,-2.4184,57.76,89,100,8.99,GB,2022-11-07 23:53:02
250,Sambava,-14.2667,50.1667,68.92,91,69,7.36,MG,2022-11-07 23:53:02
251,Conde,-7.2597,-34.9075,78.26,78,20,6.91,BR,2022-11-07 23:53:02
252,George,-33.963,22.4617,62.15,82,100,4.61,ZA,2022-11-07 23:53:03
253,Najran,17.4924,44.1277,61.45,30,1,1.81,SA,2022-11-07 23:52:48
254,Inhambane,-23.865,35.3833,75.85,85,84,8.61,MZ,2022-11-07 23:53:04
255,Marawi,7.9986,124.2928,75.45,81,54,0.4,PH,2022-11-07 23:53:04
256,Morondava,-20.2833,44.2833,76.32,75,32,1.54,MG,2022-11-07 23:51:03
257,Turhal,40.3875,36.0811,53.65,82,100,3.74,TR,2022-11-07 23:53:05
258,San Quintin,30.4833,-115.95,65.86,78,76,13.27,MX,2022-11-07 23:53:05
259,Biak,-0.9131,122.8766,79.43,79,100,2.73,ID,2022-11-07 23:53:06
260,Quatre Cocos,-20.2078,57.7625,71.71,80,3,9.57,MU,2022-11-07 23:53:06
261,Alekseyevsk,57.8406,108.3492,22.75,92,84,12.17,RU,2022-11-07 23:53:07
262,Tirschenreuth,49.8825,12.3331,48.78,91,68,4.36,DE,2022-11-07 23:53:07
263,Werda,-25.2667,23.2833,60.57,89,72,3.11,BW,2022-11-07 23:53:08
264,Kudahuvadhoo,2.6708,72.8944,81.01,75,16,10.42,MV,2022-11-07 23:53:08
265,Pevek,69.7008,170.3133,1.54,95,12,1.25,RU,2022-11-07 23:53:08
266,Coquimbo,-29.9533,-71.3436,58.73,82,100,8.05,CL,2022-11-07 23:53:09
267,Makakilo City,21.3469,-158.0858,82.44,63,100,10.36,US,2022-11-07 23:53:09
268,Dawlatabad,36.4141,64.9053,47.16,84,100,10.56,AF,2022-11-07 23:53:09
269,Atar,20.5169,-13.0499,79.43,16,9,3.74,MR,2022-11-07 23:53:10
270,Mount Gambier,-37.8333,140.7667,74.66,50,0,7.02,AU,2022-11-07 23:53:10
271,Los Llanos De Aridane,28.6585,-17.9182,65.95,53,0,8.05,ES,2022-11-07 23:53:11
272,Sao Joao Da Barra,-21.6403,-41.0511,71.69,73,51,5.77,BR,2022-11-07 23:53:11
273,Bam,29.106,58.357,63.0,34,0,7.81,IR,2022-11-07 23:53:11
274,Leshukonskoye,64.8989,45.7622,34.29,99,100,5.37,RU,2022-11-07 23:53:12
275,Jishou,28.3167,109.7167,61.11,73,2,2.1,CN,2022-11-07 23:53:12
276,Cherskiy,68.75,161.3,-6.34,98,13,3.42,RU,2022-11-07 23:54:13
277,Geraldton,-28.7667,114.6,66.61,77,75,14.97,AU,2022-11-07 23:54:13
278,Bambanglipuro,-7.95,110.2833,77.68,85,97,3.98,ID,2022-11-07 23:54:14
279,Magdagachi,53.45,125.8,13.44,89,48,1.23,RU,2022-11-07 23:54:14
280,Cartersville,34.1651,-84.7999,76.06,79,0,1.01,US,2022-11-07 23:54:15
281,Abilene,32.4487,-99.7331,79.02,60,75,10.36,US,2022-11-07 23:51:21
282,Saint George,37.1041,-113.5841,70.39,33,0,24.16,US,2022-11-07 23:54:15
283,Tateyama,34.9833,139.8667,62.87,68,0,13.6,JP,2022-11-07 23:54:15
284,Evensk,61.95,159.2333,25.14,69,100,9.57,RU,2022-11-07 23:50:51
285,Roura,4.7263,-52.3274,76.91,94,0,0.0,GF,2022-11-07 23:54:16
286,Ouadda,8.0777,22.4007,72.36,69,100,1.25,CF,2022-11-07 23:54:16
287,Merauke,-8.4667,140.3333,82.85,74,59,7.11,ID,2022-11-07 23:54:17
288,Kenai,60.5544,-151.2583,24.15,86,100,4.61,US,2022-11-07 23:51:04
289,Mulege,26.8833,-111.9833,76.68,43,97,5.08,MX,2022-11-07 23:54:17
290,Namwala,-15.7504,26.4384,68.27,85,100,1.25,ZM,2022-11-07 23:54:18
291,Payakumbuh,-0.2202,100.6308,70.52,94,100,2.13,ID,2022-11-07 23:54:18
292,Safaga,26.7292,33.9365,74.19,38,43,5.82,EG,2022-11-07 23:54:18
293,Simpang,-1.2667,104.0833,75.7,93,99,2.26,ID,2022-11-07 23:54:19
294,Severo-Kurilsk,50.6789,156.125,37.85,85,90,12.44,RU,2022-11-07 23:54:19
