City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
274,Chicama,-7.8447,-79.1469,59.54,scattered clouds,84,41,4.61,PE
275,Torbay,47.6666,-52.7314,34.27,overcast clouds,71,100,18.41,CA
276,Dennery,13.8996,-60.8879,78.39,overcast clouds,92,100,13.06,LC
277,Mount Gambier,-37.8333,140.7667,72.9,overcast clouds,59,85,11.45,AU
278,Puerto Quijarro,-17.7833,-57.7667,74.7,clear sky,39,3,1.97,BO
279,Chuy,-33.6971,-53.4616,56.46,scattered clouds,95,47,6.04,UY
280,Polyarnyye Zori,67.3661,32.4981,30.79,overcast clouds,93,99,6.06,RU
281,Serebryansk,49.6925,83.2892,27.84,overcast clouds,88,100,5.12,KZ
282,Saskylakh,71.9167,114.0833,-13.38,overcast clouds,96,97,6.31,RU
283,Iquique,-20.2208,-70.1431,64.44,clear sky,70,2,4.09,CL
284,Sarakhs,36.5449,61.1577,48.49,clear sky,48,3,1.36,IR
285,Shingu,33.7333,135.9833,69.96,broken clouds,61,76,8.84,JP
286,Kahului,20.8947,-156.47,80.62,few clouds,70,20,11.01,US
287,Trinidad,-14.8333,-64.9,80.22,broken clouds,47,71,3.09,BO
288,Hofn,64.2539,-15.2082,43.81,overcast clouds,94,100,17.63,IS
289,Ixtapa,20.7,-105.2,70.9,scattered clouds,95,27,2.53,MX
290,Cabra,37.4725,-4.4421,52.29,clear sky,86,0,4.88,ES
291,Kirakira,-10.4544,161.9205,82.72,overcast clouds,80,100,5.55,SB
292,Chifeng,42.2683,118.9636,50.23,clear sky,27,0,4.18,CN
293,Tadine,-21.55,167.8833,76.08,broken clouds,77,55,16.69,NC
294,Palaikastron,35.2,26.25,63.48,clear sky,74,1,17.22,GR
295,Kudahuvadhoo,2.6708,72.8944,80.29,overcast clouds,79,100,12.53,MV
296,Belaya Gora,68.5333,146.4167,-24.72,scattered clouds,100,26,3.69,RU
297,Tessalit,20.1986,1.0114,67.89,broken clouds,17,62,6.64,ML
298,Wahiawa,21.5028,-158.0236,75.52,clear sky,66,0,10.36,US
299,Provideniya,64.3833,-173.3,26.37,light shower snow,86,100,8.99,RU
300,Sept-Iles,50.2001,-66.3821,35.6,overcast clouds,70,100,4.61,CA
301,Lompoc,34.6391,-120.4579,49.89,clear sky,83,0,9.22,US
302,Kanniyakumari,8.0833,77.5667,83.35,overcast clouds,67,88,15.84,IN
303,Tevaitoa,-16.7833,-151.5,79.61,overcast clouds,77,89,15.28,PF
304,Lianran,24.9227,102.485,63.14,clear sky,42,1,7.4,CN
305,Ostrovnoy,68.0531,39.5131,35.13,overcast clouds,92,100,7.23,RU
